"m";"task";"participant";"angularShift"
"jun";"crazy";"Co8";" 24.36898065"
"jul";"crazy";"Co8";" 31.07249851"
"aug";"crazy";"Co8";" 36.82251662"
"sep";"crazy";"Co8";" 28.81534576"
"oct";"crazy";"Co8";" 34.57338325"
"nov";"crazy";"Co8";" 36.02197030"
"dec";"crazy";"Co8";" 30.83678458"
"jan";"month";"Co9";" 40.02393512"
"feb";"month";"Co9";" 50.21934370"
"mar";"month";"Co9";" 31.95206885"
"apr";"month";"Co9";" 30.47760393"
"may";"month";"Co9";" 16.20718076"
"jun";"month";"Co9";"  9.12463180"
"jul";"month";"Co9";"  5.55633517"
"aug";"month";"Co9";" 74.93799827"
"sep";"month";"Co9";" 75.72899414"
"oct";"month";"Co9";" 47.93779588"
"nov";"month";"Co9";" 58.29971360"
"dec";"month";"Co9";" 52.78075361"
"jan";"crazy";"Co9";"  0.83320453"
"feb";"crazy";"Co9";"  5.75709085"
"mar";"crazy";"Co9";"  8.93380111"
"apr";"crazy";"Co9";"  5.15376717"
"may";"crazy";"Co9";" 10.15169843"
"jun";"crazy";"Co9";" 16.57394430"
"jul";"crazy";"Co9";" 18.08931040"
"aug";"crazy";"Co9";" 18.74215590"
"sep";"crazy";"Co9";"  1.52573310"
"oct";"crazy";"Co9";"  0.79536348"
"nov";"crazy";"Co9";"  4.63668075"
"dec";"crazy";"Co9";"  9.52628503"
"jan";"month";"Co10";"  7.40685127"
"feb";"month";"Co10";"  4.56288112"
"mar";"month";"Co10";"  2.70193963"
"apr";"month";"Co10";"  0.20572350"
"may";"month";"Co10";" 44.77207003"
"jun";"month";"Co10";"  2.03702361"
"jul";"month";"Co10";" 23.72195186"
"aug";"month";"Co10";" 11.95892341"
"sep";"month";"Co10";"  5.36486031"
"oct";"month";"Co10";"  1.13584964"
"nov";"month";"Co10";"  2.57199792"
"dec";"month";"Co10";"  4.85529760"
"jan";"crazy";"Co10";"  3.57356258"
"feb";"crazy";"Co10";"  5.08341530"
"mar";"crazy";"Co10";" 16.23999749"
"apr";"crazy";"Co10";"  8.76842688"
"may";"crazy";"Co10";" 12.77109061"
"jun";"crazy";"Co10";"  3.20491907"
"jul";"crazy";"Co10";"  2.03924475"
"aug";"crazy";"Co10";"  7.28946354"
"sep";"crazy";"Co10";"  5.07080687"
"oct";"crazy";"Co10";"  7.43740906"
"nov";"crazy";"Co10";"  7.12784868"
"dec";"crazy";"Co10";"  0.62987722"
"jan";"month";"Sa4";" 46.49656664"
"feb";"month";"Sa4";" 50.59150227"
"mar";"month";"Sa4";" 46.82633078"
"apr";"month";"Sa4";" 49.76232619"
