"m";"condition";"task";"participant";"z";"X";"y"
"dec";"hd";"crazy";"Co10";50.3148420779926;11.9061639199684;26.2717449802919
"feb";"hd";"crazy";"Co10";28.2252841733554;41.2146402064803;17.6701122602346
"jan";"hd";"crazy";"Co10";78.9572669233174;32.2182518505891;53.2459229269975
"jul";"hd";"crazy";"Co10";42.4342628858646;25.9126196259474;48.6110425413543
"jun";"hd";"crazy";"Co10";55.1875589844909;41.0436647276275;64.117825993012
"mar";"hd";"crazy";"Co10";31;67.5925757578575;18.7780589977264
"may";"hd";"crazy";"Co10";38.6652298583624;20.9151090900771;28.1877909220386
"nov";"hd";"crazy";"Co10";23.0994227922114;54.1128681813981;10.9292055710331
"oct";"hd";"crazy";"Co10";89.5116379770437;19.3171654982117;16.3266741090799
"sep";"hd";"crazy";"Co10";81.3198417771866;53.1501579096007;18.8832429509637
"apr";"str";"crazy";"Co10";47.5254317883243;56.5312962712917;53.0118856686054
"aug";"str";"crazy";"Co10";50.9730320856039;52.1952128386517;49.7828179235547
"dec";"str";"crazy";"Co10";41.0690475500305;37.0785488140272;11.1785948805634
"feb";"str";"crazy";"Co10";39.4081209904761;34.6564456866323;29.7851205844981
"jan";"str";"crazy";"Co10";79.3473376995095;37.7121829861677;18.846000348499
"jul";"str";"crazy";"Co10";70.8772412931918;16.4913285156644;45.5028274102928
"jun";"str";"crazy";"Co10";32.0039060116105;40.436890934964;44.1826117458662
"mar";"str";"crazy";"Co10";29.2460823587251;212.345276738779;73.9192595786612
"may";"str";"crazy";"Co10";30.8598984660244;52.5496187357386;33.0944621581331
"nov";"str";"crazy";"Co10";35.330581653859;23.0416765032877;15.6444379431102
"oct";"str";"crazy";"Co10";84;36.6361424164657;24.5704732754572
"sep";"str";"crazy";"Co10";83.3006602614889;33.0732340435932;42.4072614781168
"apr";"tr";"crazy";"Co10";48.106652346635;70.3052230033163;59.6145157876466
"aug";"tr";"crazy";"Co10";56.9209978830308;21.1512991255754;25.3119020973232
"dec";"tr";"crazy";"Co10";29.3867884147508;45.3207926223553;30.7594983082424
"feb";"tr";"crazy";"Co10";21.7638844572072;18.0370130295852;25.3331648221312
"jan";"tr";"crazy";"Co10";55.9702301823627;84.4141592904962;22.3521935492983
"jul";"tr";"crazy";"Co10";78.8178279325179;107.701857699253;63.9546222678462
"jun";"tr";"crazy";"Co10";61.1364593893584;73.9712479899927;58.6716345593277
"mar";"tr";"crazy";"Co10";30.0374765917512;33.817482953806;19.7662142728097
"may";"tr";"crazy";"Co10";51.8097481175116;134.128421343202;27.4378533900429
"nov";"tr";"crazy";"Co10";58.3666571482954;30.1946916689722;68.7565609793958
"oct";"tr";"crazy";"Co10";21.556128285633;68.7539588129668;25.5057286945619
"sep";"tr";"crazy";"Co10";39.5590276253938;76.3211680535654;17.7520122565403
"apr";"hd";"month";"Co10";59.8240475617177;30.0561525867526;81.6458373700539
"aug";"hd";"month";"Co10";22.0680764907139;38.9359678482824;68.0242706809538
"dec";"hd";"month";"Co10";46.0968184006951;46.3332626539009;27.9635266218795
"feb";"hd";"month";"Co10";51.3874173963497;59.008220372176;35.8336374161945
"jan";"hd";"month";"Co10";24.8260615751539;65.5566837409761;25.7083294109607
"jul";"hd";"month";"Co10";44.7539569945124;50.8694452224806;58.7044430501675
"jun";"hd";"month";"Co10";39.7869325281555;241.962307723804;41.1392326454721
"mar";"hd";"month";"Co10";41.0802061013979;35.0280467581142;17.427490349681
"may";"hd";"month";"Co10";38.8790860660758;21.3964311906509;37.2742563111618
"nov";"hd";"month";"Co10";32.7554066783892;19.8736710799691;34.7556480349582
"oct";"hd";"month";"Co10";24.6576560118759;49.6410219608107;37.0941633675497
"sep";"hd";"month";"Co10";49.7351317816022;26.4229863355085;36.5649102033604
"apr";"str";"month";"Co10";40.5;32.7768621998532;50.2369544775161
"aug";"str";"month";"Co10";19.1724628916927;145.630867722684;84.6072192021786
"dec";"str";"month";"Co10";38.3438391400757;23.3554249869938;31.5848198586097
"feb";"str";"month";"Co10";33.1398551596111;33.3896015776312;17.780289206145
"jan";"str";"month";"Co10";16.0286202358989;66.5074654564147;68.2655711615292
"jul";"str";"month";"Co10";55.0840267228168;234.336385110064;54.6345544567391
"jun";"str";"month";"Co10";17.1464281994822;249.882554786176;57.9330948416832
"mar";"str";"month";"Co10";43.5918570377542;42.1169440207011;49.0275855289906
"may";"str";"month";"Co10";37.3363094051889;187.714709303451;27.346290994968
"nov";"str";"month";"Co10";27.9806480744579;27.0902764462609;42.7484063412248
"oct";"str";"month";"Co10";10.5316981853197;44.3719022002291;32.6072433996395
"sep";"str";"month";"Co10";62.3237514917066;75.5858822872889;22.9602861812929
"apr";"tr";"month";"Co10";243.20002055921;221.73769698006;30.8904974609571
"aug";"tr";"month";"Co10";68.9347517584563;35.3924380817193;31.5468066087252
"dec";"tr";"month";"Co10";70.5147738657179;38.1000700600095;46.3796113347086
"feb";"tr";"month";"Co10";76.2146092732008;37.5091710278129;82.7545441700557
"jan";"tr";"month";"Co10";26.4952825989835;70.3379228011923;43.8157233663787
"jul";"tr";"month";"Co10";233.612749366696;199.033578088247;56.1582088770483
"jun";"tr";"month";"Co10";236.943734530655;200.381328582001;96.1892174913396
"mar";"tr";"month";"Co10";42.5088226136646;38.9460342351122;24.2779337230176
"may";"tr";"month";"Co10";71.9090861203692;14.6629774052703;39.0657495704136
"nov";"tr";"month";"Co10";41.5802437061962;15.9938619902479;9.9317944168627
