"m";"task";"participant";"angularShift"
"dec";"month";"Sa21";"  5.187993754"
"jan";"crazy";"Sa21";"  1.615283440"
"feb";"crazy";"Sa21";"  1.716955111"
"mar";"crazy";"Sa21";"  5.886283593"
"apr";"crazy";"Sa21";"  0.015128707"
"may";"crazy";"Sa21";"  7.415769277"
"jun";"crazy";"Sa21";"  5.699013551"
"jul";"crazy";"Sa21";"  9.652421931"
"aug";"crazy";"Sa21";"  2.522976528"
"sep";"crazy";"Sa21";" 18.095659250"
"oct";"crazy";"Sa21";" 12.195667478"
"nov";"crazy";"Sa21";"  7.300530802"
"dec";"crazy";"Sa21";"  4.575464336"
"jan";"month";"Sa22";"  2.475590566"
"feb";"month";"Sa22";" 23.141008475"
"mar";"month";"Sa22";"  4.350749057"
"apr";"month";"Sa22";"  3.420122056"
"may";"month";"Sa22";"  2.297826285"
"jun";"month";"Sa22";"  0.865892889"
"jul";"month";"Sa22";"  6.094722281"
"aug";"month";"Sa22";"  6.525232683"
"sep";"month";"Sa22";"  0.385618941"
"oct";"month";"Sa22";"  1.098005130"
"nov";"month";"Sa22";"  1.576439372"
"dec";"month";"Sa22";"  3.076553283"
"jan";"crazy";"Sa22";"  0.805761261"
"feb";"crazy";"Sa22";"  4.497788145"
"mar";"crazy";"Sa22";"  2.286741868"
"apr";"crazy";"Sa22";"  3.986201227"
"may";"crazy";"Sa22";"  4.621066739"
"jun";"crazy";"Sa22";"  2.360798731"
"jul";"crazy";"Sa22";"  5.267425209"
"aug";"crazy";"Sa22";"  4.274823766"
"sep";"crazy";"Sa22";"  3.775999048"
"oct";"crazy";"Sa22";"  1.138875948"
"nov";"crazy";"Sa22";"  5.531330428"
"dec";"crazy";"Sa22";"  4.020796853"
"jan";"month";"Sa23";"  3.055905730"
"feb";"month";"Sa23";" 11.550723271"
"mar";"month";"Sa23";" 18.861349391"
"apr";"month";"Sa23";" 18.680621093"
"may";"month";"Sa23";" 26.683544792"
"jun";"month";"Sa23";" 42.287111768"
"jul";"month";"Sa23";" 42.906050512"
"aug";"month";"Sa23";"  9.615396056"
"sep";"month";"Sa23";"  4.762765506"
"oct";"month";"Sa23";"  4.718665942"
"nov";"month";"Sa23";"  7.395558136"
"dec";"month";"Sa23";"  0.199446738"
"jan";"crazy";"Sa23";"  6.565784342"
"feb";"crazy";"Sa23";"  0.466735868"
"mar";"crazy";"Sa23";"  0.755605701"
"apr";"crazy";"Sa23";"  1.827823458"
"may";"crazy";"Sa23";"  5.621212617"
"jun";"crazy";"Sa23";"  1.776671051"
"jul";"crazy";"Sa23";"  1.720337681"
"aug";"crazy";"Sa23";"  0.783434492"
"sep";"crazy";"Sa23";"  2.438687163"
"oct";"crazy";"Sa23";"  0.001992798"
"nov";"crazy";"Sa23";"  3.094535940"
"dec";"crazy";"Sa23";"  0.505005324"
"jan";"month";"Sa24";" 71.457626854"
"feb";"month";"Sa24";" 27.178543783"
"mar";"month";"Sa24";" 15.714820252"
"apr";"month";"Sa24";" 30.781747673"
"may";"month";"Sa24";" 32.079784627"
"jun";"month";"Sa24";" 34.475410912"
"jul";"month";"Sa24";" 42.221502270"
"aug";"month";"Sa24";" 53.293119318"
"sep";"month";"Sa24";" 52.006654552"
"oct";"month";"Sa24";" 54.166990637"
"nov";"month";"Sa24";" 63.345349770"
"dec";"month";"Sa24";" 73.097305080"
"jan";"crazy";"Sa24";" 23.665020075"
"feb";"crazy";"Sa24";" 33.827708097"
"mar";"crazy";"Sa24";" 43.842562013"
"apr";"crazy";"Sa24";" 32.864399866"
"may";"crazy";"Sa24";" 27.712380982"
"jun";"crazy";"Sa24";" 20.713638919"
"jul";"crazy";"Sa24";" 28.355631333"
"aug";"crazy";"Sa24";" 33.264515077"
"sep";"crazy";"Sa24";" 35.496850825"
"oct";"crazy";"Sa24";" 34.948208053"
"nov";"crazy";"Sa24";" 25.955919653"
"dec";"crazy";"Sa24";" 24.144682289"
"jan";"month";"Sa25";" 78.991278588"
"feb";"month";"Sa25";" 86.640882524"
"mar";"month";"Sa25";" 87.956245422"
"apr";"month";"Sa25";"105.444955864"
"may";"month";"Sa25";" 51.358220137"
"jun";"month";"Sa25";" 37.180886482"
"jul";"month";"Sa25";" 72.480881941"
"aug";"month";"Sa25";" 85.192553109"
"sep";"month";"Sa25";" 78.739729095"
"oct";"month";"Sa25";" 92.879333683"
"nov";"month";"Sa25";" 96.899883166"
"dec";"month";"Sa25";"103.622059846"
"jan";"crazy";"Sa25";" 73.069871888"
"feb";"crazy";"Sa25";" 85.584966285"
"mar";"crazy";"Sa25";" 90.379391375"
"apr";"crazy";"Sa25";" 83.100859360"
"may";"crazy";"Sa25";" 90.623906413"
"jun";"crazy";"Sa25";" 78.641471415"
"jul";"crazy";"Sa25";" 81.822353435"
"aug";"crazy";"Sa25";" 74.249503386"
"sep";"crazy";"Sa25";" 97.598644112"
"oct";"crazy";"Sa25";" 93.869481458"
"nov";"crazy";"Sa25";" 76.366111833"
"dec";"crazy";"Sa25";" 78.006496017"
"jan";"month";"Sa26";" 40.984844332"
"feb";"month";"Sa26";" 36.315970270"
"mar";"month";"Sa26";" 41.513731016"
"apr";"month";"Sa26";" 48.363951463"
"may";"month";"Sa26";" 40.440384796"
"jun";"month";"Sa26";" 50.045103693"
"jul";"month";"Sa26";" 45.676727995"
"aug";"month";"Sa26";" 47.166658047"
"sep";"month";"Sa26";" 38.427070094"
"oct";"month";"Sa26";" 30.959644551"
"nov";"month";"Sa26";" 52.865330015"
"dec";"month";"Sa26";" 52.534069866"
