"participant";"overall_hd_cr";"overall_hd_m";"overall_str_cr";"overall_str_m";"overall_tr_cr";"overall_tr_m";"pooled_z_hd_cr";"pooled_z_hd_m";"pooled_z_str_cr";"pooled_z_str_m";"pooled_z_tr_cr";"pooled_z_tr_m";"pooled_X_hd_cr";"pooled_X_hd_m";"pooled_X_str_cr";"pooled_X_str_m";"pooled_X_tr_cr";"pooled_X_tr_m";"pooled_y_hd_cr";"pooled_y_hd_m";"pooled_y_str_cr";"pooled_y_str_m";"pooled_y_tr_cr";"pooled_y_tr_m"
"Sa11";31.8266268702609;27.4021651698129;32.0914471618049;20.5928351004698;31.1911299364205;31.3573834428798;26.4210903573038;29.5735890262882;46.1792184863138;17.4187797328876;26.7069554012948;36.0505196430362;46.6230266745131;23.7089119132448;28.8013042597811;19.2130961257044;46.2249643925234;30.1424159226905;22.4357635789658;28.9239945699056;21.2938187393197;25.1466294428176;20.6414700154434;27.8792147629127
"Sa20";30.3085916160338;24.105060929229;29.9304733549576;21.4114445911208;26.8841727982733;30.1671826751001;35.158115609626;25.0657211842436;37.6925399021334;31.0208150613354;25.2421803074274;33.6683260238632;37.2774946050965;26.5928692177526;30.3677744050845;14.9079060555485;29.1480862634908;32.4848916851005;18.490164633379;20.6565923856907;21.7311057576548;18.3056126564783;26.2622518239016;24.3483303163365
"Sa21";29.3836334737569;20.0736253470957;25.8864750220886;29.4947138362551;47.1847359744875;17.8862798528023;27.0764138439741;23.3489728986444;26.6207804519124;47.9411461686235;40.5793070797739;29.6582294445607;31.5554469256589;18.9933770329837;27.5107162286952;31.0898277081398;74.1141173541941;14.8857165912895;29.5190396516376;17.8785261096591;23.5279283856583;9.45316763200201;26.8607834894947;9.11489352255674
"Sa22";74.3245922224893;37.1174600199077;28.166818402625;66.1998928052129;27.2591099615601;53.1854140018461;87.5022266869271;38.8379591231741;37.7105271149182;88.3203429619258;27.2034271057821;78.9721971714305;100.658363674114;36.146961903815;23.1830888504312;53.9160178045881;29.5453329482301;42.4318032773183;34.8131863064265;36.3674590327341;23.6068392425257;56.3633176491247;25.0285698306682;38.1522415567896
"Sa23";39.6734692429606;42.4654223509361;29.7987329263617;28.5496030146637;33.7338365895581;31.2578149434112;33.0273094064336;42.8614866561602;27.5315039101843;27.3687040591794;20.6585880729367;39.2640769647861;57.513609162548;40.7913623102662;22.1058085144146;35.1061162415841;38.9007325397383;28.3366487521462;28.4794891599004;43.743418086382;39.7588863544861;23.1739887432277;41.6421891559991;26.1727191133013
"Sa24";46.3968783292891;40.7477661763362;45.5050933264931;33.1999384846319;43.9705191187737;37.3322488083425;59.2156234795138;46.7140025620661;56.7170389433533;36.073204569179;40.9774062406077;43.9356073161143;48.2083122877728;47.4063536880166;34.995876991919;31.2719167669018;62.2461735828125;37.4978744894316;31.7666992205806;28.1229422789259;44.8023640442071;32.254694117815;28.6879775329011;30.5632646194818
"Sa25";47.5513825254997;60.1363834040652;57.2064227479786;87.986962628724;53.1068414465073;61.4657058773693;62.3883931333539;71.1910955567995;86.1128693260953;110.907922029778;46.0959381724783;90.9851253211183;39.5797941248764;71.5566338386708;45.9554490115373;112.305600394617;67.7357520445478;50.841986390167;40.6859603182687;37.6614208167253;39.5509499063033;40.747365461777;45.4888341224957;42.5700059208225
"Sa6";41.0705220727316;35.1284196024269;36.8521840552314;50.0897620107941;32.0268441708684;47.4741364548515;46.5600164475611;44.605747046981;38.729257887555;60.0206491424014;32.4596251613003;55.1648826131607;38.0153844382531;27.1447129367371;34.3630204342487;51.2020840724692;25.3462538513104;42.7357019883958;38.6361653323806;33.6347988235624;37.4642738438905;39.0465528175118;38.2746534999945;44.5218247629981
"Sa7";22.9649689362673;30.6663631322032;15.1113412153818;56.718614774137;23.4366347474371;58.5412192982996;20.7961952568743;33.7639912223903;21.1037986534335;61.2835676080368;35.9392014674112;87.8564812264337;28.7971849924589;28.5544678359113;12.096618346492;43.3354580152826;14.7300494968594;53.6169122272653;19.3015265594687;29.6806303383081;12.1336066462198;65.5368186990915;19.6406532780408;34.1502644411999
"Sa9";77.268105141641;27.6030074861966;79.9326197740149;24.2808890650273;75.6755051638785;26.8411259119973;63.3350605603884;23.9719774525825;71.2578272571243;27.7213199533348;101.724489073635;26.9332132885255;115.358334723949;33.173721385912;112.716071190071;18.8806155539593;83.9635224073774;29.6886536154293;53.1109201405852;25.6633236200952;55.8239608748497;26.2407316877879;41.3385040106229;23.901510832037
