"condition";"task";"participant";"z";"X";"y"
"tr";"crazy";"Co6";40.2920678149012;30.9319276391847;28.6440008943428
"hd";"month";"Co6";20.6026189568259;63.9166575273648;73.4807896921237
"str";"month";"Co6";34.0158574018938;43.7163672976713;71.0993788903847
"tr";"month";"Co6";58.4192849726052;41.5856643968117;57.2474402135974
"hd";"crazy";"Co7";28.4429993567237;16.7929957222416;18.9510357713459
"str";"crazy";"Co7";32.2046023340169;29.4762102774782;19.1914864220936
"tr";"crazy";"Co7";16.0474797997198;18.4226881335728;16.9196439561847
"hd";"month";"Co7";46.3005627315774;31.6036957588671;41.0354312618644
"str";"month";"Co7";23.1526438188672;33.8000123763842;39.3349530222162
"tr";"month";"Co7";19.8419793277731;21.3310255551483;28.4622082482092
"hd";"crazy";"Co8";16.5880657808983;30.5147284038632;10.6647564473987
"str";"crazy";"Co8";24.107654811165;3.220672219535;7.20753044304295
"tr";"crazy";"Co8";11.2060903584023;4.70474837593719;5.55966602655273
"hd";"month";"Co8";18.4198652976536;45.9818928288589;38.7811796492661
"str";"month";"Co8";25.6135101594126;16.5232892212009;14.8566953854838
"tr";"month";"Co8";20.4174169334842;15.878182183881;30.0708837098344
"hd";"crazy";"Co9";24.9533284900809;15.2416450734292;24.7006341127073
"str";"crazy";"Co9";20.5024499169502;48.5416504164689;19.4120438343356
"tr";"crazy";"Co9";16.7004281312928;15.8357566884019;16.9474486438988
"hd";"month";"Co9";107.986309865158;99.6330389166038;14.3660206595397
"str";"month";"Co9";16.2636809404962;22.8178405559551;13.2528715474786
"tr";"month";"Co9";18.9982074966524;22.690733243263;10.7040533933453
"hd";"crazy";"Sa1";21.4420534213294;21.873007272694;40.4621494324533
"str";"crazy";"Sa1";34.3151655517142;27.747540186102;49.9433160029136
"tr";"crazy";"Sa1";15.4119503845733;13.3971578816603;33.6392139021775
"hd";"crazy";"Sa11";9.94010157243811;26.2798185471706;12.1832015431325
"str";"crazy";"Sa11";18.002122837581;9.3090116810048;14.0846535949363
"tr";"crazy";"Sa11";16.1115875055845;18.2100207051871;7.82692468316342
"hd";"month";"Sa11";12.8640937399431;9.96198349348246;21.6086570723742
"str";"month";"Sa11";8.70405696807817;9.83409427692223;9.49176675353573
"tr";"month";"Sa11";22.3148688063106;13.7762806103793;16.5742455078473
"hd";"crazy";"Sa13";20.429614228514;26.190402554269;12.0424555807658
"str";"crazy";"Sa13";17.1148911466724;15.9696735891319;49.1087369961774
"tr";"crazy";"Sa13";45.1567817859076;16.7351802755539;10.7811558170931
"hd";"month";"Sa14";68.6434581273044;61.2729858559964;27.786819351458
