"m";"task";"participant";"angularShift"
"oct";"month";"Co10";0.971720515
"nov";"month";"Co10";2.656318688
"dec";"month";"Co10";-4.995677313
"jan";"crazy";"Co10";3.858210756
"feb";"crazy";"Co10";5.408422045
"mar";"crazy";"Co10";16.887681969
"apr";"crazy";"Co10";9.047755537
"may";"crazy";"Co10";12.122568062
"jun";"crazy";"Co10";-2.771223177
"jul";"crazy";"Co10";-1.756736905
"aug";"crazy";"Co10";7.519602122
"sep";"crazy";"Co10";-5.051941411
"oct";"crazy";"Co10";7.507874788
"nov";"crazy";"Co10";6.96643178
"dec";"crazy";"Co10";-0.356618031
"jan";"month";"Sa4";46.855685399
"feb";"month";"Sa4";51.587681684
"mar";"month";"Sa4";47.830564998
"apr";"month";"Sa4";51.088648916
"may";"month";"Sa4";51.502418795
"jun";"month";"Sa4";51.519070127
"jul";"month";"Sa4";51.049339207
"aug";"month";"Sa4";49.045885705
"sep";"month";"Sa4";41.709338802
"oct";"month";"Sa4";45.191381514
"nov";"month";"Sa4";46.036014673
"dec";"month";"Sa4";39.972628144
"jan";"month";"Sa5";10.258688757
"feb";"month";"Sa5";20.547978426
"mar";"month";"Sa5";11.894502386
"apr";"month";"Sa5";16.435002563
"may";"month";"Sa5";18.342920934
"jun";"month";"Sa5";13.175701432
"jul";"month";"Sa5";17.574849077
"aug";"month";"Sa5";24.366476238
"sep";"month";"Sa5";19.912518083
"oct";"month";"Sa5";18.168718613
"nov";"month";"Sa5";16.386820028
"dec";"month";"Sa5";16.743490106
"jan";"month";"Sa6";11.422404922
"feb";"month";"Sa6";-3.029296093
"mar";"month";"Sa6";1.703322627
"apr";"month";"Sa6";2.454622791
"may";"month";"Sa6";4.883308144
"jun";"month";"Sa6";2.754037627
"jul";"month";"Sa6";-5.973034708
"aug";"month";"Sa6";-8.659299917
"sep";"month";"Sa6";2.324972062
"oct";"month";"Sa6";-10.480068872
"nov";"month";"Sa6";1.54430435
"dec";"month";"Sa6";2.019279196
"jan";"crazy";"Sa6";53.438277936
"feb";"crazy";"Sa6";65.894658307
"mar";"crazy";"Sa6";48.383392054
"apr";"crazy";"Sa6";49.795092138
"may";"crazy";"Sa6";66.480635159
"jun";"crazy";"Sa6";50.245992554
"jul";"crazy";"Sa6";57.457237018
"aug";"crazy";"Sa6";47.483293668
"sep";"crazy";"Sa6";45.158728879
"oct";"crazy";"Sa6";45.712794679
"nov";"crazy";"Sa6";48.406039582
"dec";"crazy";"Sa6";48.760300357
"jan";"month";"Sa7";54.378289978
"feb";"month";"Sa7";53.344132217
"mar";"month";"Sa7";57.859279622
"apr";"month";"Sa7";55.75427279
"may";"month";"Sa7";62.058066189
"jun";"month";"Sa7";54.399049366
"jul";"month";"Sa7";50.671198598
"aug";"month";"Sa7";39.409997328
"sep";"month";"Sa7";44.0799045
"oct";"month";"Sa7";35.393759404
"nov";"month";"Sa7";38.534858207
"dec";"month";"Sa7";50.032728176
"jan";"crazy";"Sa7";51.784143366
"feb";"crazy";"Sa7";52.029888024
"mar";"crazy";"Sa7";53.138412308
"apr";"crazy";"Sa7";56.712250158
"may";"crazy";"Sa7";48.826370595
"jun";"crazy";"Sa7";48.850873753
"jul";"crazy";"Sa7";49.163349568
"aug";"crazy";"Sa7";54.102966009
"sep";"crazy";"Sa7";55.032652327
"oct";"crazy";"Sa7";50.161957812
"nov";"crazy";"Sa7";51.241656772
"dec";"crazy";"Sa7";50.428355646
"jan";"month";"Sa9";-1.40167989
"feb";"month";"Sa9";3.185974554
"mar";"month";"Sa9";-0.833583031
"apr";"month";"Sa9";0.636419238
"may";"month";"Sa9";5.152801299
"jun";"month";"Sa9";-2.680731436
"jul";"month";"Sa9";-0.611934864
"aug";"month";"Sa9";13.062857126
"sep";"month";"Sa9";9.712696664
"oct";"month";"Sa9";9.19800652
"nov";"month";"Sa9";7.600110081
"dec";"month";"Sa9";10.782884308
"jan";"crazy";"Sa9";39.502911113
