"m","task","participant","angularShift"
"apr","crazy","Sa8",-10.01032343
"may","crazy","Sa8",-1.14091933
"jun","crazy","Sa8",-6.44171599
"jul","crazy","Sa8",-6.23820952
"aug","crazy","Sa8",-8.22446032
"sep","crazy","Sa8",-4.44677802
"oct","crazy","Sa8",-5.54209595
"nov","crazy","Sa8",-3.57535939
"dec","crazy","Sa8",-1.04994231
"jan","month","Sa20",51.09494037
"feb","month","Sa20",45.10523755
"mar","month","Sa20",42.44104116
"apr","month","Sa20",44.33725746
"may","month","Sa20",36.12610817
"jun","month","Sa20",31.92438683
"jul","month","Sa20",0.71085307
"aug","month","Sa20",-156.41643139
"sep","month","Sa20",-151.34140102
"oct","month","Sa20",-106.69370028
"nov","month","Sa20",75.35177924
"dec","month","Sa20",57.94855146
"jan","crazy","Sa20",44.2570855
"feb","crazy","Sa20",38.73306925
"mar","crazy","Sa20",39.48036818
"apr","crazy","Sa20",37.00862578
"may","crazy","Sa20",31.9424008
"jun","crazy","Sa20",18.17634826
"jul","crazy","Sa20",27.33083511
"aug","crazy","Sa20",30.2804166
"sep","crazy","Sa20",75.55573384
"oct","crazy","Sa20",73.52462578
"nov","crazy","Sa20",28.95893385
"dec","crazy","Sa20",23.0458176
"jan","month","Sa21",-1.92144096
"feb","month","Sa21",-2.41552359
"mar","month","Sa21",-1.37187857
"apr","month","Sa21",-3.61150914
"may","month","Sa21",-4.19614422
"jun","month","Sa21",-0.2611196
"jul","month","Sa21",-0.8417397
"aug","month","Sa21",-3.03736904
"sep","month","Sa21",-2.05295265
"oct","month","Sa21",-2.20785688
"nov","month","Sa21",-5.07600972
"dec","month","Sa21",-2.80082826
"jan","crazy","Sa21",-0.12369043
"feb","crazy","Sa21",-2.77263703
"mar","crazy","Sa21",-5.71562297
"apr","crazy","Sa21",-0.45325602
"may","crazy","Sa21",-5.4627738
"jun","crazy","Sa21",-3.66167353
"jul","crazy","Sa21",-6.82811765
"aug","crazy","Sa21",-2.77546519
"sep","crazy","Sa21",-13.26353429
"oct","crazy","Sa21",-9.34148926
"nov","crazy","Sa21",-5.70888668
"dec","crazy","Sa21",-2.76281301
"jan","month","Sa22",-4.2554472
"feb","month","Sa22",16.28044706
"mar","month","Sa22",-5.36835162
"apr","month","Sa22",-1.16970397
"may","month","Sa22",-0.38434262
"jun","month","Sa22",-0.5802139
"jul","month","Sa22",5.83445218
"aug","month","Sa22",6.64736555
"sep","month","Sa22",0.04719628
"oct","month","Sa22",1.71363543
"nov","month","Sa22",1.14325205
"dec","month","Sa22",1.88702515
"jan","crazy","Sa22",1.06679525
"feb","crazy","Sa22",-3.72629929
"mar","crazy","Sa22",1.70690734
"apr","crazy","Sa22",3.59867492
"may","crazy","Sa22",4.71194218
"jun","crazy","Sa22",2.56383665
"jul","crazy","Sa22",5.23110009
"aug","crazy","Sa22",3.97432255
"sep","crazy","Sa22",-3.79440501
"oct","crazy","Sa22",-0.65221734
"nov","crazy","Sa22",5.31871894
"dec","crazy","Sa22",4.02379896
"jan","month","Sa23",2.4175506
"feb","month","Sa23",10.25692726
"mar","month","Sa23",17.15004054
"apr","month","Sa23",16.06229092
"may","month","Sa23",23.15027286
"jun","month","Sa23",34.18700803
"jul","month","Sa23",35.37622566
"aug","month","Sa23",9.61213377
"sep","month","Sa23",-4.10066965
"oct","month","Sa23",-4.4490683
"nov","month","Sa23",-7.48458761
"dec","month","Sa23",-0.21331667
"jan","crazy","Sa23",-5.54980379
"feb","crazy","Sa23",-0.48536392
"mar","crazy","Sa23",-0.65645513
"apr","crazy","Sa23",-1.68453476
"may","crazy","Sa23",4.55219307
"jun","crazy","Sa23",-1.56961744
"jul","crazy","Sa23",-1.72899635
"aug","crazy","Sa23",-0.46924988
"sep","crazy","Sa23",-2.62956073
"oct","crazy","Sa23",-0.47352958
"nov","crazy","Sa23",2.65044303
"dec","crazy","Sa23",-0.50645047
"jan","month","Sa24",-77.39069756
"feb","month","Sa24",-15.71789687
"mar","month","Sa24",12.82850549
"apr","month","Sa24",25.7645508
"may","month","Sa24",27.11117292
"jun","month","Sa24",29.94532536
"jul","month","Sa24",37.44232045
"aug","month","Sa24",49.26655292
"sep","month","Sa24",-50.12773257
"oct","month","Sa24",-53.32763231
"nov","month","Sa24",-64.0748607
"dec","month","Sa24",-76.2879035
"jan","crazy","Sa24",19.79295975
"feb","crazy","Sa24",28.07509761
"mar","crazy","Sa24",36.32070073
"apr","crazy","Sa24",27.42736499
"may","crazy","Sa24",22.59749507
"jun","crazy","Sa24",15.84913273
"jul","crazy","Sa24",22.68994982
"aug","crazy","Sa24",28.48836321
"sep","crazy","Sa24",31.49092506
"oct","crazy","Sa24",31.05873573
"nov","crazy","Sa24",21.51240834
"dec","crazy","Sa24",18.89039996
"jan","month","Sa25",-83.20754417
"feb","month","Sa25",-91.02947447
"mar","month","Sa25",-90.7142354
"apr","month","Sa25",105.76288233
"may","month","Sa25",65.39817871
"jun","month","Sa25",45.65473036
"jul","month","Sa25",59.31708959
"aug","month","Sa25",70.9002255
"sep","month","Sa25",67.24352243
"oct","month","Sa25",81.41176355
"nov","month","Sa25",86.05066274
"dec","month","Sa25",91.74606465
"jan","crazy","Sa25",64.48217595
"feb","crazy","Sa25",76.92650226
"mar","crazy","Sa25",83.28899417
"apr","crazy","Sa25",76.48092395
"may","crazy","Sa25",78.43269676
"jun","crazy","Sa25",66.60583077
"jul","crazy","Sa25",71.35269703
"aug","crazy","Sa25",65.45801743
"sep","crazy","Sa25",-98.77592566
"oct","crazy","Sa25",92.49250297
"nov","crazy","Sa25",67.99388757
"dec","crazy","Sa25",67.73830782
"jan","month","Sa26",32.40026805
"feb","month","Sa26",28.17712234
"mar","month","Sa26",32.96683406
"apr","month","Sa26",43.2792496
"may","month","Sa26",-37.8086921
"jun","month","Sa26",-49.28930878
"jul","month","Sa26",-43.28439339
"aug","month","Sa26",-43.04193767
"sep","month","Sa26",29.81862537
"oct","month","Sa26",21.66204034
"nov","month","Sa26",39.97262746
"dec","month","Sa26",43.67029968
