"participant";"axis";"task";"statistic";"pvalue";"cohenD";"estimate"
"Co4";"X";"month";-7.12453855144737;"0.00001931018";2.056677125265;-60.9623207152778
"Co5";"X";"month";-29.0585651842625;"0.00000000000942956";8.38848521569913;-136.587536430556
"Co6";"X";"month";-0.030471370564318;"0.976237";0.00879632699894292;-1.29172021180554
"Co7";"X";"month";-18.4635589153953;"0.000000001257604";5.329970355001;-290.262320918056
"Co8";"X";"month";-18.0358914702798;"0.000000001615079";5.20651339772046;-359.499782927778
"Co9";"X";"month";-7.45303295219083;"0.00001272428";2.15150529061326;-275.077613710417
"Co10";"X";"month";3.62905528277619;"0.00396319";1.04761802220743;78.4321006444444
"Sa4";"X";"month";-26.9102068619473;"0.00000000002171282";7.76830758784691;-372.7742758125
"Sa5";"X";"month";-1.77200226996413;"0.1040554";0.511532993784208;-16.8395412583333
"Sa6";"X";"month";6.065755193664;"0.00008124204";1.75103269695014;191.255352256944
"Sa7";"X";"month";-20.8079313386868;"0.0000000003493046";6.00673237983502;-458.037038729167
"Sa9";"X";"month";-0.729217860230693;"0.4811073";0.210507063951037;-5.25774011805555
"Sa11";"X";"month";4.0966010517361;"0.001769576";1.18258685999117;41.7567312020833
"Sa14";"X";"month";1.79732760198023;"0.09975967";0.518843787412614;55.4428366131944
"Sa20";"X";"month";3.15886219969075;"0.009097363";0.911884970662193;152.2651881375
"Sa21";"X";"month";-58.2592611321889;"0.000000000000004708663";16.818000048729;-225.9355201875
"Sa22";"X";"month";-5.16468670824899;"0.0003110591";1.49091663064382;-142.1152244625
"Sa23";"X";"month";-6.79036985798696;"0.0000299188";1.96021093270295;-172.991334364583
"Sa24";"X";"month";-2.75628825023679;"0.01867944";0.795671881619206;-39.77852968125
"Sa25";"X";"month";0.854782199488702;"0.4109023";0.246754366486651;84.6875633986111
"Sa26";"X";"month";3.19531696284663;"0.008525449";0.922408554322841;39.9203280770833
"Co1";"y";"month";0.078315168003537;"0.9391223";0.0236129116055799;1.15877859090908
"Co2";"y";"month";3.08923778399175;"0.01030007";0.891786133089201;121.945557366667
"Co3";"y";"month";3.6222027359151;"0.004010977";1.04563986231999;22.885038875
"Co4";"y";"month";3.15717200491303;"0.009124804";0.911397053457245;16.2482437875
"Co5";"y";"month";-0.554151149741096;"0.5905631";0.159969657737381;-2.70832163888889
"Co6";"y";"month";-1.15238696664563;"0.2735912";0.332665462701735;-29.4863790763889
"Co7";"y";"month";1.6034248042673;"0.1371442";0.462868871184525;37.1763920486111
"Co8";"y";"month";3.79485098795065;"0.002969649";1.09547911971391;98.5510168201389
"Co9";"y";"month";5.65235495273029;"0.0001482957";1.63169432675707;33.6384811104167
"Co10";"y";"month";1.90046841548842;"0.08388391";0.548617975634309;21.6874527722222
"Sa4";"y";"month";4.66557715489198;"0.0006874604";1.34683611315093;27.053945625
"Sa5";"y";"month";-0.789987950571002;"0.4462308";0.228049877959364;-4.00746135416668
"Sa6";"y";"month";-0.802767894079247;"0.4391097";0.231739129871721;-7.68897725972222
"Sa7";"y";"month";6.20025411445956;"0.00006713624";1.78985919101366;48.1078435895833
"Sa9";"y";"month";2.38478641311493;"0.03619354";0.688428538785833;13.5918960076389
"Sa11";"y";"month";-0.125022012315141;"0.9027617";0.0360907462323877;-1.01982157291666
"Sa14";"y";"month";-0.826132908898486;"0.4262844";0.238484028669475;-34.3003242638889
"Sa20";"y";"month";-0.729077728748525;"0.4811896";0.210466611476561;-7.06063815000001
"Sa21";"y";"month";4.17628988377412;"0.001546207";1.20559104430545;10.12531425
"Sa22";"y";"month";1.32784037968921;"0.2111261";0.383314500327211;13.1862883104167
"Sa23";"y";"month";2.73498933828314;"0.01940449";0.789523415344263;18.5559648541667
"Sa24";"y";"month";1.24768375389557;"0.2380546";0.360175275587564;6.82173381458334
"Sa25";"y";"month";-0.593818496184728;"0.5646452";0.171420634311016;-6.39529564444444
"Sa26";"y";"month";-0.394444681671129;"0.7007927";0.113866371571621;-3.56883529791668
"Co1";"z";"crazy";-4.19572611147586;"0.001496326";1.21120179995327;-175.916666666667
"Co2";"z";"crazy";-3.69705752272782;"0.003519603";1.06724857797822;-88.125
"Co3";"z";"crazy";-15.4678852622595;"0.000000008244666";4.4651938599799;-270.625
"Co4";"z";"crazy";-4.28539464102477;"0.00128704";1.23708687478972;-33.6041666666667
"Co5";"z";"crazy";-13.5563696340564;"0.00000003290446";3.91338682872826;-60.5833333333333
"Co6";"z";"crazy";0.589550016042442;"0.5674039";0.170188430231426;24.4027777777778
"Co7";"z";"crazy";-6.71654554366066;"0.00003302001";1.93889968882843;-107.333333333333
"Co8";"z";"crazy";-24.9251505755742;"0.00000000004981151";7.19527119719987;-422.020833333333
"Co9";"z";"crazy";-5.75885153267295;"0.000126711";1.66243724130591;-142.270833333333
"Co10";"z";"crazy";1.60547903889287;"0.1366905";0.463461877641551;82.4722222222222
"Sa6";"z";"crazy";-6.55903061491876;"0.00004084946";1.89342904557317;-104.625
"Sa7";"z";"crazy";-5.87244938091829;"0.0001073257";1.69523011543781;-152
"Sa9";"z";"crazy";-1.32316499518086;"0.212625";0.381964833074979;-19.8958333333333
"Sa11";"z";"crazy";-2.00495088035149;"0.07020574";0.578779465241454;-26.3333333333333
"Sa1";"z";"crazy";-1.24043150326857;"0.2406222";0.3580817311617;-39.6527777777778
"Sa13";"z";"crazy";-4.20969738009036;"0.00146151";1.21523495780102;-261.861111111111
"Sa8";"z";"crazy";-2.75405057484766;"0.01875433";0.795025920375069;-28.6875
"Sa20";"z";"crazy";2.98934560069679;"0.01231209";0.862949743631558;126.666666666667
"Sa21";"z";"crazy";-19.777995960017;"0.0000000006024008";5.70941564577357;-95.9375
"Sa22";"z";"crazy";-2.26300888683112;"0.04485462";0.653274394995231;-47.4236111111111
"Sa23";"z";"crazy";1.10565419740226;"0.2924718";0.319174874250417;8.22916666666667
"Sa24";"z";"crazy";1.31166733445697;"0.2163484";0.378645744317984;33.3541666666667
"Sa25";"z";"crazy";2.75982506893458;"0.01856168";0.796692873232828;226.173611111111
"Co1";"X";"crazy";-3.95885448392976;"0.002238448";1.1428228509897;-77.4990485624999
"Co2";"X";"crazy";-26.4224042445216;"0.00000000002647761";7.62749110160582;-462.189979159722
"Co3";"X";"crazy";-45.7757767005308;"0.00000000000006614683";13.2143285002078;-441.9681744375
"Co4";"X";"crazy";-13.7665855507668;"0.00000002802354";3.97407093677861;-124.25202105
"Co5";"X";"crazy";-36.625468087722;"0.0000000000007575722";10.5728619298212;-136.250180354167
"Co6";"X";"crazy";-2.86664802906498;"0.01533319";0.827530005626288;-38.7665660069444
"Co7";"X";"crazy";-6.8620293058856;"0.0000272054";1.98089723347007;-133.968660783333
"Co8";"X";"crazy";-16.6472933117982;"0.000000003788132";4.80565963742266;-245.03665899375
"Co9";"X";"crazy";-8.13385898015335;"0.000005576819";2.348042835871;-106.255336959028
"Co10";"X";"crazy";1.93520036684107;"0.07908441";0.558644226365778;45.7357237979167
"Sa6";"X";"crazy";-20.6304640807475;"0.0000000003829828";5.95550199526323;-307.305996964583
"Sa7";"X";"crazy";-42.6216147496778;"0.0000000000001444796";12.3038003745115;-472.220251419445
"Sa9";"X";"crazy";-4.9329497165095;"0.0004475659";1.42401992336282;-79.0023939305555
