"m";"condition";"task";"participant";"z";"X";"y"
"dec";"hd";"crazy";"Co2";1721.5;215.2251175;-152.0070275
"feb";"hd";"crazy";"Co2";1748.5;232.664285;381.548235
"jan";"hd";"crazy";"Co2";1651.75;151.81897;342.116795
"jul";"hd";"crazy";"Co2";1904.25;-43.89770325;130.128825
"jun";"hd";"crazy";"Co2";1869;33.49466175;204.1850725
"mar";"hd";"crazy";"Co2";1677.5;137.759375;254.416875
"may";"hd";"crazy";"Co2";1675.75;30.09992375;241.03325
"nov";"hd";"crazy";"Co2";1571.75;44.25635475;-123.64505875
"oct";"hd";"crazy";"Co2";1630.25;452.1754625;-81.52047725
"sep";"hd";"crazy";"Co2";1614;416.1135925;155.821514
"apr";"str";"crazy";"Co2";1733.75;-116.817303;162.3717925
"aug";"str";"crazy";"Co2";1618.5;-151.7811825;13.33321605
"dec";"str";"crazy";"Co2";1732.75;-220.143755;-156.1311725
"feb";"str";"crazy";"Co2";1692.75;-204.876725;354.59302
"jan";"str";"crazy";"Co2";1706;-251.72549;354.3077575
"jul";"str";"crazy";"Co2";1978.25;-340.441345;110.4107225
"jun";"str";"crazy";"Co2";1875.5;-260.331505;196.6731175
"mar";"str";"crazy";"Co2";1700.25;-258.653905;273.45073
"may";"str";"crazy";"Co2";1904.25;-394.6830875;203.40401
"nov";"str";"crazy";"Co2";1710.75;-408.1444325;-154.4187975
"oct";"str";"crazy";"Co2";1474;-59.9414675;-30.46289525
"sep";"str";"crazy";"Co2";1473.25;-102.3886425;171.9191275
"apr";"tr";"crazy";"Co2";1675;-181.14821;166.70144
"aug";"tr";"crazy";"Co2";1550;-155.12513375;34.671648
"dec";"tr";"crazy";"Co2";1666.33333333333;-229.964183333333;-108.47743
"feb";"tr";"crazy";"Co2";1574.75;-231.55886;369.1080725
"jan";"tr";"crazy";"Co2";1592.75;-302.4465675;368.5010975
"jul";"tr";"crazy";"Co2";1858.75;-400.2847;124.778591
"jun";"tr";"crazy";"Co2";1761.25;-350.5418175;223.1525225
"mar";"tr";"crazy";"Co2";1596;-316.92862;257.1073925
"may";"tr";"crazy";"Co2";1699.75;-407.854425;246.503755
"nov";"tr";"crazy";"Co2";1640.5;-402.5740925;-126.18192
"oct";"tr";"crazy";"Co2";1409.66666666667;-91.0459133333333;-52.3153686666667
"sep";"tr";"crazy";"Co2";1457.25;-163.2253725;192.0340725
"apr";"hd";"month";"Co2";2089.25;496.249505;235.9795375
"aug";"hd";"month";"Co2";1848.25;399.74899;-155.83246
"dec";"hd";"month";"Co2";1797.75;310.7383125;268.875485
"feb";"hd";"month";"Co2";1953;346.386005;382.083565
"jan";"hd";"month";"Co2";1899.75;289.435525;364.33485
"jul";"hd";"month";"Co2";1952.75;447.75219;-201.8992675
"jun";"hd";"month";"Co2";2024.25;501.47945;-111.856573
"mar";"hd";"month";"Co2";2066.5;492.4348875;224.58223625
"may";"hd";"month";"Co2";2088.25;518.546085;175.86743
"nov";"hd";"month";"Co2";1757.25;315.8671325;136.4338021
"oct";"hd";"month";"Co2";1736.75;342.497155;-36.2664265
"sep";"hd";"month";"Co2";1779.25;356.8850675;-97.378845
"apr";"str";"month";"Co2";1715.5;79.3226995;260.46176
"aug";"str";"month";"Co2";1702.5;14.825951125;97.59975875
"dec";"str";"month";"Co2";1743.75;-61.1688595;282.93033
"feb";"str";"month";"Co2";1782.25;5.5282651;316.028585
"jan";"str";"month";"Co2";1782.5;-35.41410975;307.5801475
"jul";"str";"month";"Co2";1678.25;79.47554725;112.823824
"jun";"str";"month";"Co2";1686.25;89.064085;154.9501475
"mar";"str";"month";"Co2";1721;63.765782;294.885396666667
"may";"str";"month";"Co2";1715.75;133.6968775;229.146635
"nov";"str";"month";"Co2";1741.75;-77.46922075;210.689765
"oct";"str";"month";"Co2";1696.75;-73.3624435;145.51656
"sep";"str";"month";"Co2";1693;-43.2469035;120.444736
"apr";"tr";"month";"Co2";1655.75;-24.1287995;273.4125275
"aug";"tr";"month";"Co2";1607.25;-124.2576085;120.04227875
"dec";"tr";"month";"Co2";1657.75;-228.0720775;271.7018975
"feb";"tr";"month";"Co2";1655.25;-122.2656575;326.10732
"jan";"tr";"month";"Co2";1665;-207.3401775;315.1372375
"jul";"tr";"month";"Co2";1613.75;-48.62708475;136.23844
"jun";"tr";"month";"Co2";1596.25;-45.81888725;181.43866
"mar";"tr";"month";"Co2";1629.75;-57.27829425;297.682875
"may";"tr";"month";"Co2";1631.75;4.048647375;221.1588175
"nov";"tr";"month";"Co2";1631;-241.146575;233.2898875
"oct";"tr";"month";"Co2";1588.75;-251.5795975;138.0350325
"sep";"tr";"month";"Co2";1605.75;-194.3299525;134.0250485
"apr";"hd";"crazy";"Co3";1861.25;240.58306;201.9052675
"aug";"hd";"crazy";"Co3";1859;252.84568;168.67416
"dec";"hd";"crazy";"Co3";1798.25;141.0902725;120.2619685
"feb";"hd";"crazy";"Co3";1833.5;258.8419425;309.068455
"jan";"hd";"crazy";"Co3";1780.75;182.7381625;361.4172375
