"m";"task";"participant";"angularShift"
"jul";"month";"Sa20";"  4.83956161"
"aug";"month";"Sa20";" 47.19389694"
"sep";"month";"Sa20";" 12.47785550"
"oct";"month";"Sa20";"  5.43498066"
"nov";"month";"Sa20";"  1.62809477"
"dec";"month";"Sa20";"  0.50768461"
"jan";"crazy";"Sa20";"  8.92359162"
"feb";"crazy";"Sa20";"  5.19175167"
"mar";"crazy";"Sa20";"  7.47380817"
"apr";"crazy";"Sa20";"  6.28771611"
"may";"crazy";"Sa20";"  6.67798118"
"jun";"crazy";"Sa20";"  2.11113601"
"jul";"crazy";"Sa20";"  3.51849054"
"aug";"crazy";"Sa20";"  6.87376621"
"sep";"crazy";"Sa20";"  6.49322139"
"oct";"crazy";"Sa20";"  9.36197620"
"nov";"crazy";"Sa20";"  3.54999645"
"dec";"crazy";"Sa20";"  4.85247459"
"jan";"month";"Sa21";" 20.76395832"
"feb";"month";"Sa21";" 26.28887789"
"mar";"month";"Sa21";" 21.63543732"
"apr";"month";"Sa21";" 22.31234137"
"may";"month";"Sa21";" 29.59545841"
"jun";"month";"Sa21";" 21.06281878"
"jul";"month";"Sa21";" 29.28813615"
"aug";"month";"Sa21";" 28.13181287"
"sep";"month";"Sa21";" 15.43260746"
"oct";"month";"Sa21";" 15.18824448"
"nov";"month";"Sa21";" 21.02974368"
"dec";"month";"Sa21";" 19.31531735"
"jan";"crazy";"Sa21";" 20.42093102"
"feb";"crazy";"Sa21";" 27.58874379"
"mar";"crazy";"Sa21";" 30.34665394"
"apr";"crazy";"Sa21";" 35.86824406"
"may";"crazy";"Sa21";" 13.57048519"
"jun";"crazy";"Sa21";" 11.77070442"
"jul";"crazy";"Sa21";" 11.64860281"
"aug";"crazy";"Sa21";" 29.40144987"
"sep";"crazy";"Sa21";" 75.18337653"
"oct";"crazy";"Sa21";" 67.06033470"
"nov";"crazy";"Sa21";" 20.23163241"
"dec";"crazy";"Sa21";" 14.63282593"
"jan";"month";"Sa22";"102.80162690"
"feb";"month";"Sa22";"107.82001230"
"mar";"month";"Sa22";" 71.43673012"
"apr";"month";"Sa22";" 80.54711603"
"may";"month";"Sa22";" 74.22698123"
"jun";"month";"Sa22";"103.44012930"
"jul";"month";"Sa22";" 26.35029627"
"aug";"month";"Sa22";" 40.58338410"
"sep";"month";"Sa22";" 27.57237359"
"oct";"month";"Sa22";" 38.53982114"
