"m","z","X","y","outlier","condition","task","type","participant","rounds"
"aug",1992,-58.81044,-65.72945,0,"str","mini","control","Co4","both"
"may",1833,-423.3802,22.283148,0,"str","mini","control","Co4","both"
"jul",2003,-170.44861,-80.00657,0,"str","mini","control","Co4","both"
"mar",1843,-412.88727,-9.602066,0,"str","mini","control","Co4","both"
"jan",1665,-260.2395,187.95073,0,"str","mini","control","Co4","both"
"feb",1768,-393.0146,132.0283,0,"str","mini","control","Co4","both"
"jun",2015,-265.95316,-52.49075,0,"str","mini","control","Co4","both"
"apr",1843,-377.6798,-22.40476,0,"eyes","mini","control","Co4","both"
"jan",1657,-365.46237,94.962616,0,"eyes","mini","control","Co4","both"
"jul",2015,-216.96172,-66.488365,0,"eyes","mini","control","Co4","both"
"may",1843,-384.0812,-3.2007194,0,"eyes","mini","control","Co4","both"
"aug",2039,-38.95171,-53.115948,0,"eyes","mini","control","Co4","both"
"dec",1690,143.81342,102.723816,0,"eyes","mini","control","Co4","both"
"feb",1768,-423.71884,70.61979,0,"eyes","mini","control","Co4","both"
"sep",1992,217.94469,-3.459486,0,"eyes","mini","control","Co4","both"
"jun",2027,-295.69873,-66.88433,0,"eyes","mini","control","Co4","both"
"oct",1863,255.59743,22.647848,0,"eyes","mini","control","Co4","both"
"mar",1925,-447.97314,-23.401608,0,"eyes","mini","control","Co4","both"
"nov",1853,344.33066,41.834522,0,"eyes","mini","control","Co4","both"
"jan",1589,-273.19675,212.48637,0,"tr","mini","control","Co5","both"
"may",1589,-240.08197,162.8142,0,"tr","mini","control","Co5","both"
"mar",1596,-238.36792,180.16179,0,"tr","mini","control","Co5","both"
"sep",1567,-296.62787,198.659,0,"tr","mini","control","Co5","both"
"feb",1603,-236.62952,219.92624,0,"tr","mini","control","Co5","both"
"oct",1567,-299.3492,193.2163,0,"tr","mini","control","Co5","both"
"aug",1574,-287.0189,172.21133,0,"tr","mini","control","Co5","both"
"nov",1589,-278.7159,218.0055,0,"tr","mini","control","Co5","both"
"jun",1581,-263.58432,167.48582,0,"tr","mini","control","Co5","both"
"dec",1581,-285.54965,208.67087,0,"tr","mini","control","Co5","both"
"jul",1589,-284.235,179.3716,0,"tr","mini","control","Co5","both"
"apr",1596,-246.68306,191.24866,0,"tr","mini","control","Co5","both"
"dec",1574,-202.27997,232.3486,0,"hd","mini","control","Co5","both"
"jul",1589,-184.8907,179.3716,0,"hd","mini","control","Co5","both"
"mar",1596,-58.20613,202.33553,0,"hd","mini","control","Co5","both"
"aug",1611,-176.25949,218.22604,0,"hd","mini","control","Co5","both"
"apr",1596,-24.945469,157.988,0,"hd","mini","control","Co5","both"
"feb",1618,-81.48786,216.36435,0,"hd","mini","control","Co5","both"
"oct",1626,-228.72943,194.84355,0,"hd","mini","control","Co5","both"
"jan",1626,-138.36717,237.20085,0,"hd","mini","control","Co5","both"
"nov",1611,-201.4394,209.8327,0,"hd","mini","control","Co5","both"
"may",1603,-47.32587,108.57117,0,"hd","mini","control","Co5","both"
"sep",1626,-177.90063,194.84355,0,"hd","mini","control","Co5","both"
"jun",1611,-120.304085,97.921936,0,"hd","mini","control","Co5","both"
"aug",1581,-148.26617,203.17953,0,"str","mini","control","Co5","both"
"may",1618,-61.81835,177.02538,0,"str","mini","control","Co5","both"
"dec",1641,-145.34338,250.78851,0,"str","mini","control","Co5","both"
"oct",1634,-167.42508,215.66617,0,"str","mini","control","Co5","both"
"apr",1611,-64.34869,159.47285,0,"str","mini","control","Co5","both"
"jul",1626,-152.48627,152.48625,0,"str","mini","control","Co5","both"
"mar",1641,-76.94646,190.94127,0,"str","mini","control","Co5","both"
