"m";"task";"participant";"angularShift"
"may";"month";"Sa11";" 34.74847262"
"jun";"month";"Sa11";" 41.38660867"
"jul";"month";"Sa11";" 37.34050175"
"aug";"month";"Sa11";" 39.09848030"
"sep";"month";"Sa11";" 36.00998993"
"oct";"month";"Sa11";" 28.70301807"
"nov";"month";"Sa11";" 30.27478697"
"dec";"month";"Sa11";" 22.34362578"
"jan";"crazy";"Sa11";" 11.13378830"
"feb";"crazy";"Sa11";"  1.74551992"
"mar";"crazy";"Sa11";"  0.83650379"
"apr";"crazy";"Sa11";"  5.23619307"
"may";"crazy";"Sa11";" 18.81122833"
"jun";"crazy";"Sa11";"  8.45934356"
"jul";"crazy";"Sa11";" 22.45711959"
"aug";"crazy";"Sa11";"  0.49562424"
"sep";"crazy";"Sa11";"  1.76518888"
"oct";"crazy";"Sa11";"  2.75018904"
"nov";"crazy";"Sa11";" 12.58650720"
"dec";"crazy";"Sa11";" 10.97539943"
"jan";"month";"Sa14";" 61.38285243"
"feb";"month";"Sa14";" 24.34354412"
"mar";"month";"Sa14";" 65.33917245"
"apr";"month";"Sa14";" 67.10709691"
"may";"month";"Sa14";" 72.16883989"
"jun";"month";"Sa14";" 60.13212509"
"jul";"month";"Sa14";" 11.19620754"
"aug";"month";"Sa14";" 23.62726239"
"sep";"month";"Sa14";" 18.52468908"
"oct";"month";"Sa14";" 66.83769433"
"nov";"month";"Sa14";" 18.44468242"
"dec";"month";"Sa14";" 56.50414826"
"jan";"crazy";"Sa1";"  2.38050955"
"feb";"crazy";"Sa1";"  1.64678441"
"mar";"crazy";"Sa1";"  7.54956680"
"apr";"crazy";"Sa1";"  0.48402948"
"may";"crazy";"Sa1";" 15.01588783"
"jun";"crazy";"Sa1";" 13.19722444"
"jul";"crazy";"Sa1";"  8.24120967"
"aug";"crazy";"Sa1";" 14.04661162"
"sep";"crazy";"Sa1";" 11.26382287"
"oct";"crazy";"Sa1";" 11.02558376"
"nov";"crazy";"Sa1";" 11.88868876"
"dec";"crazy";"Sa1";" 13.87636738"
"jan";"crazy";"Sa13";"  5.47044158"
"feb";"crazy";"Sa13";"  2.42805944"
"mar";"crazy";"Sa13";"  1.36012915"
"apr";"crazy";"Sa13";"  7.63444635"
"may";"crazy";"Sa13";"  7.04858891"
"jun";"crazy";"Sa13";"  8.34020827"
"jul";"crazy";"Sa13";"  7.00293297"
"aug";"crazy";"Sa13";"  4.70925515"
"sep";"crazy";"Sa13";"  2.82943857"
"oct";"crazy";"Sa13";"  4.14555678"
"nov";"crazy";"Sa13";"  2.73076750"
"dec";"crazy";"Sa13";"  5.80964130"
"jan";"crazy";"Sa8";" 15.54376251"
"feb";"crazy";"Sa8";" 13.94264563"
"mar";"crazy";"Sa8";" 15.47045332"
"apr";"crazy";"Sa8";" 10.32240245"
"may";"crazy";"Sa8";"  2.07813265"
"jun";"crazy";"Sa8";"  7.29624554"
"jul";"crazy";"Sa8";"  7.02886492"
"aug";"crazy";"Sa8";"  8.53785455"
"sep";"crazy";"Sa8";"  4.43668769"
"oct";"crazy";"Sa8";"  5.30043824"
"nov";"crazy";"Sa8";"  4.42721875"
"dec";"crazy";"Sa8";"  1.67845489"
"jan";"month";"Sa20";" 52.35704091"
"feb";"month";"Sa20";" 46.57399647"
"mar";"month";"Sa20";" 44.19929019"
"apr";"month";"Sa20";" 46.28167583"
"may";"month";"Sa20";" 38.05608182"
"jun";"month";"Sa20";" 33.91810488"
"jul";"month";"Sa20";"  0.28499477"
"aug";"month";"Sa20";"174.15349301"
"sep";"month";"Sa20";"131.29104979"
"oct";"month";"Sa20";" 97.94632898"
"nov";"month";"Sa20";" 73.69181115"
"dec";"month";"Sa20";" 58.61604293"
"jan";"crazy";"Sa20";" 48.55820025"
"feb";"crazy";"Sa20";" 43.16257321"
"mar";"crazy";"Sa20";" 43.06344058"
"apr";"crazy";"Sa20";" 40.74140799"
"may";"crazy";"Sa20";" 34.13478829"
"jun";"crazy";"Sa20";" 20.50671691"
"jul";"crazy";"Sa20";" 28.91071841"
"aug";"crazy";"Sa20";" 34.45315562"
"sep";"crazy";"Sa20";" 73.85065522"
"oct";"crazy";"Sa20";" 72.27231861"
"nov";"crazy";"Sa20";" 30.62677501"
"dec";"crazy";"Sa20";" 25.10259223"
"jan";"month";"Sa21";"  1.58152199"
"feb";"month";"Sa21";"  2.14193189"
"mar";"month";"Sa21";"  1.91337289"
"apr";"month";"Sa21";"  4.19925228"
"may";"month";"Sa21";"  4.87239098"
"jun";"month";"Sa21";"  0.09695234"
"jul";"month";"Sa21";"  0.45024053"
"aug";"month";"Sa21";"  2.88854913"
"sep";"month";"Sa21";"  1.83608718"
"oct";"month";"Sa21";"  2.00441674"
"nov";"month";"Sa21";"  5.05862857"
"dec";"month";"Sa21";"  2.61184637"
"jan";"crazy";"Sa21";"  0.28688415"
"feb";"crazy";"Sa21";"  3.43225754"
"mar";"crazy";"Sa21";"  6.36740486"
"apr";"crazy";"Sa21";"  0.66811718"
"may";"crazy";"Sa21";"  5.52756096"
"jun";"crazy";"Sa21";"  3.54458640"
