participant;m;type;rounds;condition;z.mini;x.mini;y.mini;z.month;x.month;y.month;dist
Sa21;mar;synaesthete;both;str;1969;-147.03833;218.84776;1955.75;-239.195845;196.0978425;95.8442946514399
Sa21;may;synaesthete;both;str;2167;-161.82431;191.93117;1929.75;-225.18139;141.25174;250.739080941227
Sa21;nov;synaesthete;both;str;2015;-304.44632;160.97157;1987;-295.57241;177.668795;33.7867370633615
Sa21;oct;synaesthete;both;str;2027;-285.1381;158.41;1975.5;-290.5838025;162.017505;51.912616655718
Sa21;sep;synaesthete;both;str;2027;-281.61786;123.207794;1972.75;-283.8681375;141.95075;57.4406184545827
Sa22;apr;synaesthete;both;str;1804;147.24852;28.196493;1895.25;117.16423275;3.24795325;99.2676003285959
Sa22;aug;synaesthete;both;str;1804;-322.69348;-34.462425;1873.75;-375.911025;-30.97826525;87.8026706028384
Sa22;dec;synaesthete;both;str;1768;-291.69052;248.70454;1801;-305.2360975;263.72931;38.7069293972204
Sa22;feb;synaesthete;both;str;1777;108.01198;175.9052;1853.5;90.28321325;104.789555;105.943353421732
Sa22;jan;synaesthete;both;str;1768;33.77476;267.12708;1829.5;114.062109;321.1478425;114.658410901814
Sa22;jul;synaesthete;both;str;1723;-212.45164;-194.498;1845.25;-294.52347;-124.07230075;163.219566518234
Sa22;jun;synaesthete;both;str;1698;8.846558;-156.28964;1823.25;-9.385818;-135.739215;128.227539952562
Sa22;may;synaesthete;both;str;1681;113.85417;-55.46747;1878.5;138.72017125;-14.10350325;203.311450153355
Sa22;nov;synaesthete;both;str;1833;-318.331;181.44862;1830;-341.507645;193.503695;26.2960397533859
Sa22;oct;synaesthete;both;str;1804;-347.75708;100.25424;1873.5;-427.243425;89.00500525;106.183211120778
Sa22;sep;synaesthete;both;str;1833;-334.24756;3.1832614;1843.66666666667;-363.998953333333;-0.973157033333333;31.8778762976055
Sa23;aug;synaesthete;both;str;1936;131.12534;0;1890.33333333333;157.680083333333;-26.279855;59.0019458726972
Sa23;jan;synaesthete;both;str;1833;-82.76607;353.34738;1817;-156.2439825;417.2471825;98.6822597273525
Sa23;jul;synaesthete;both;str;1915;-43.23429;-123.05154;1863;-15.52882075;-34.84148825;106.078302475579
Sa23;jun;synaesthete;both;str;1925;-90.26321;-157.125;1894.25;-117.6869435;-48.39094925;116.278619924656
Sa23;nov;synaesthete;both;str;1833;222.8317;359.714;1863.5;295.81382;406.0517425;91.6723852623608
Sa23;oct;synaesthete;both;str;1915;219.49738;176.26295;1859.66666666667;335.851643333333;289.407933333333;171.469763011211
Sa23;sep;synaesthete;both;str;1873;227.69437;87.82493;1880.33333333333;333.17721;183.798936666667;142.798519837906
Sa24;apr;synaesthete;both;str;2392;-95.54442;178.62653;1836.5;-92.26997125;128.5997125;557.757702307906
Sa24;aug;synaesthete;both;str;1768;-187.29604;150.4509;2160.5;-391.77114;-105.1161245;511.05852945802
Sa24;dec;synaesthete;both;str;2409;-313.77225;154.79428;2312;-129.408145;114.53919275;212.178215804441
Sa24;feb;synaesthete;both;str;2532;-189.08128;153.90338;2060.25;4.48454165;212.859285;513.31431749505
Sa24;jan;synaesthete;both;str;2478;-413.13217;137.71065;2278.25;-81.1491915;163.1623975;388.278961527064
Sa24;jul;synaesthete;both;str;1759;-152.73984;119.13704;2054.25;-360.7729575;-98.775121;421.824667828304
Sa24;jun;synaesthete;both;str;1824;-15.8384;123.53949;1929;-337.0092725;-59.1270505;384.112996865049
Sa24;mar;synaesthete;both;str;2514;-192.1031;152.80928;1894.25;-19.510547225;196.522465;644.817101445236
Sa24;may;synaesthete;both;str;2101;3.6488202;186.08554;1841.75;-196.9922475;86.205053;342.700324235553
Sa24;nov;synaesthete;both;str;2376;-441.51617;144.42117;2311.75;-163.593965;104.35668875;288.05203903096
Sa24;oct;synaesthete;both;str;2181;-515.1231;124.99304;2293.25;-244.8361225;55.73695825;300.75158780204
Sa24;sep;synaesthete;both;str;2088;-471.4008;112.410904;2251.75;-329.538995;-15.4003535;251.5443335907
Sa25;apr;synaesthete;both;str;1795;336.67017;-59.22909;1866.5;193.17901;-87.240635;162.747072635524
Sa25;aug;synaesthete;both;str;1824;-148.88092;-180.55782;1935.5;-172.0137625;-203.95244;116.25268447255
Sa25;dec;synaesthete;both;str;1947;-351.65414;199.49606;2073.25;-349.45594;212.2844475;126.915079632367
Sa25;feb;synaesthete;both;str;1980;577.68475;251.01775;1978.5;440.7517125;209.00954;143.239646977995
Sa25;jan;synaesthete;both;str;2003;660.9232;233.06238;2076.5;594.1627175;240.7184575;99.5882902068251
Sa25;jul;synaesthete;both;str;1853;12.872222;-209.17284;2035.25;-6.44823025;-189.6375525;184.309440433343
Sa25;jun;synaesthete;both;str;1863;122.94556;-210.30168;2069.75;111.1080575;-206.30954;207.127077291254
Sa25;mar;synaesthete;both;str;1863;446.48654;80.885216;1916.75;364.4955625;33.47029675;108.902513556343
Sa25;may;synaesthete;both;str;1777;277.7451;-138.87263;2081;134.085161666667;-110.189813333333;337.456488830591
Sa25;nov;synaesthete;both;str;2003;-347.85434;100.87771;2040;-364.1503225;77.259054;46.8230707759182
Sa25;oct;synaesthete;both;str;1925;-267.44666;-30.087769;1998.25;-323.8123375;-10.09009875;94.5651041106694
Sa25;sep;synaesthete;both;str;1947;-270.5032;-84.53231;1909.75;-222.82907;-128.4764685;74.776160890554
Sa6;apr;synaesthete;both;str;2039;-177.05316;187.67633;1761;-211.884185;24.7083875;324.123048525146
Sa6;aug;synaesthete;both;str;1843;265.65613;-35.207455;1757.5;303.68136;-24.18831405;94.2209614885608
Sa6;dec;synaesthete;both;str;1958;27.20312;411.44754;1786.5;5.83999875;398.2836325;173.326055197165
Sa6;feb;synaesthete;both;str;1992;-159.13425;266.37686;1824.25;-185.9223025;274.3616125;170.0629840066
Sa6;jan;synaesthete;both;str;1980;-41.26316;354.17575;1817;-210.0975725;352.28366;234.686256199182
Sa6;jul;synaesthete;both;str;1873;26.022188;-165.89168;1698;190.6113625;-101.06619375;248.831147628548
Sa6;jun;synaesthete;both;str;1915;-6.6513953;-123.05154;1684.75;-92.913826;-138.778385;246.381012060439
Sa6;mar;synaesthete;both;str;1992;-134.91815;231.78246;1760;-229.53217;129.0299535;270.802308654474
Sa6;may;synaesthete;both;str;1925;-127.03714;-3.343128;1736.5;-212.3934525;3.07040275;207.024354751509
Sa6;nov;synaesthete;both;str;1980;226.94768;271.64938;1756;174.3097175;348.346655;242.547370813573
Sa6;oct;synaesthete;both;str;1904;198.39679;168.63725;1774.25;346.0803425;170.7494675;196.595919697708
Sa6;sep;synaesthete;both;str;1936;235.35306;90.779;1743;304.4038575;99.85135625;205.18118891193
Sa7;apr;synaesthete;both;str;1657;-57.55313;198.55829;1650.25;-146.0827375;165.9875425;94.5722342805372
Sa7;aug;synaesthete;both;str;1641;99.745445;236.53918;1665.25;248.03162;297.2639;162.062777389532
Sa7;dec;synaesthete;both;str;1589;60.710415;113.14207;1581.66666666667;84.3464683333333;26.280926;90.3177675318799
