"m";"condition";"task";"participant";"modelz";"modelX";"y"
"nov";"str";"month";"Sa22";1685.17239060189;-8.13713381498752;193.503695
"oct";"str";"month";"Sa22";1655.30718415519;-99.5206302249203;89.00500525
"sep";"str";"month";"Sa22";1678.93242663785;-33.7046831314612;-0.973157033333333
"apr";"str";"crazy";"Sa23";1901.07451130963;336.811974459298;226.47216
"aug";"str";"crazy";"Sa23";1927.70946854112;390.67054276647;68.31610025
"dec";"str";"crazy";"Sa23";1852.92571040594;224.670009858226;-42.016984
"feb";"str";"crazy";"Sa23";1913.2469734172;298.072748321438;364.637025
"jan";"str";"crazy";"Sa23";1924.67145832519;299.951291683405;427.831285
"jul";"str";"crazy";"Sa23";1864.57367358369;138.383683841642;158.84461
"jun";"str";"crazy";"Sa23";1909.96212565899;159.023398575405;250.207615
"mar";"str";"crazy";"Sa23";1905.51583857244;315.79745759939;323.6265025
"may";"str";"crazy";"Sa23";1837.34149520225;167.720047955122;276.7729675
"nov";"str";"crazy";"Sa23";1783.474211804;230.525383452653;-55.51651225
"oct";"str";"crazy";"Sa23";2002.26084663927;602.754189805398;-7.50590525
"sep";"str";"crazy";"Sa23";2032.60197307281;643.34836456615;159.697755
"apr";"str";"month";"Sa23";1774.95751986266;27.2007732944167;61.190534
"aug";"str";"month";"Sa23";2080.81352752309;302.179784843032;-26.279855
"dec";"str";"month";"Sa23";2032.64059701297;334.027771737191;409.061815
"feb";"str";"month";"Sa23";1752.16069068652;71.2255349404053;350.1484325
"jan";"str";"month";"Sa23";1806.98119450767;132.056446401644;417.2471825
"jul";"str";"month";"Sa23";1939.00875153144;199.030179556249;-34.84148825
"jun";"str";"month";"Sa23";1888.86913709371;104.696391294357;-48.39094925
"mar";"str";"month";"Sa23";1698.39612533162;23.8249306161801;145.18833
"may";"str";"month";"Sa23";1774.48131526534;38.0382771960774;-50.553964
"nov";"str";"month";"Sa23";2159.51479746889;418.829118712508;406.0517425
"oct";"str";"month";"Sa23";2185.11523785729;449.850711090005;289.407933333333
"sep";"str";"month";"Sa23";2197.83766805598;433.346060999652;183.798936666667
"apr";"str";"crazy";"Sa24";1875.81202677367;294.932480565451;177.390925
"aug";"str";"crazy";"Sa24";1902.61699050658;304.41332815929;114.31648
"dec";"str";"crazy";"Sa24";1936.38595105866;144.081477275668;-58.767967675
"feb";"str";"crazy";"Sa24";1898.52069210856;202.736293957532;313.91766
"jan";"str";"crazy";"Sa24";1883.69388204756;215.840201753398;366.3979775
"jul";"str";"crazy";"Sa24";1898.51317273505;119.290174404008;141.31558
"jun";"str";"crazy";"Sa24";1941.09622903734;121.568144178668;218.5260275
"mar";"str";"crazy";"Sa24";1897.0032602248;155.610474687233;194.076365
"may";"str";"crazy";"Sa24";1861.34672567327;102.276270606038;201.697735
"nov";"str";"crazy";"Sa24";1838.60367797824;112.060134845596;-52.47775255
"oct";"str";"crazy";"Sa24";1832.66655576884;485.839354133372;-1.14796625
"sep";"str";"crazy";"Sa24";1824.39430357069;463.778519702081;91.82144675
"apr";"str";"month";"Sa24";1866.00623391539;163.504321343085;128.5997125
"aug";"str";"month";"Sa24";1883.32952362341;-277.377583157778;-105.1161245
"dec";"str";"month";"Sa24";2175.97485387008;-198.985607610627;114.53919275
"feb";"str";"month";"Sa24";2092.63714838787;73.7049512345866;212.859285
"jan";"str";"month";"Sa24";2186.23423327785;-140.996520472765;163.1623975
"jul";"str";"month";"Sa24";1830.11845317255;-180.328462606499;-98.775121
"jun";"str";"month";"Sa24";1758.35679163841;-74.9598754534026;-59.1270505
"mar";"str";"month";"Sa24";1958.29033265222;174.117586852867;196.522465
"may";"str";"month";"Sa24";1795.66871283895;85.74217906419;86.205053
"nov";"str";"month";"Sa24";2151.62505203236;-222.981856057753;104.35668875
"oct";"str";"month";"Sa24";2081.09669609394;-267.347261092278;55.73695825
"sep";"str";"month";"Sa24";1991.85778914397;-297.896305203766;-15.4003535
"apr";"str";"crazy";"Sa25";2000.08629812565;241.369396449011;145.4853065
"aug";"str";"crazy";"Sa25";1954.93393203403;228.743942291975;67.08002
"dec";"str";"crazy";"Sa25";1785.31337739106;142.915541219612;-253.888
"feb";"str";"crazy";"Sa25";1990.55339474479;267.191832127482;442.882125
"jan";"str";"crazy";"Sa25";2000.87469743793;311.454260317578;455.248905
"jul";"str";"crazy";"Sa25";1770.08692769521;60.8675007016307;184.6276175
"jun";"str";"crazy";"Sa25";1829.62268469835;94.3581579310735;293.90707
"mar";"str";"crazy";"Sa25";1942.42726350773;317.707096865944;348.16603
"may";"str";"crazy";"Sa25";1790.98983499755;78.2348740980402;330.9726125
"nov";"str";"crazy";"Sa25";1687.15204033407;125.010823827299;-173.028925
"oct";"str";"crazy";"Sa25";2069.98750762481;567.596814128298;-119.06677075
"sep";"str";"crazy";"Sa25";2188.764668988;624.148578747071;17.43523825
"apr";"str";"month";"Sa25";2089.06234767565;344.134028232156;-87.240635
"aug";"str";"month";"Sa25";1879.62242970246;37.1133744552176;-203.95244
"dec";"str";"month";"Sa25";1851.55582183215;-185.761151631986;212.2844475
"feb";"str";"month";"Sa25";2343.31864394298;439.998405513692;209.00954
"jan";"str";"month";"Sa25";2521.0930704434;479.179902901554;240.7184575
"jul";"str";"month";"Sa25";2067.22884171055;83.6519836165946;-189.6375525
"jun";"str";"month";"Sa25";2174.74887390063;142.381647904801;-206.30954
"mar";"str";"month";"Sa25";2245.73355943253;429.741008479783;33.47029675
"may";"str";"month";"Sa25";2198.95109135726;150.673962784732;-110.189813333333
"nov";"str";"month";"Sa25";1817.6540238466;-172.640348668633;77.259054
"oct";"str";"month";"Sa25";1816.65557846496;-114.595377821193;-10.09009875
"sep";"str";"month";"Sa25";1825.48258156557;19.3895255494416;-128.4764685
"apr";"str";"month";"Sa26";2108.88196562145;324.7092198221;261.34615
"aug";"str";"month";"Sa26";2213.89982957884;319.0648725238;-119.25998125
"dec";"str";"month";"Sa26";1885.27540370349;-57.9963678628347;127.163475
"feb";"str";"month";"Sa26";1967.01964716557;131.228106339599;255.4627675
"jan";"str";"month";"Sa26";1901.19716976421;46.3137458462024;251.586095
"jul";"str";"month";"Sa26";2269.18288553314;389.197170883016;-32.74748475
"jun";"str";"month";"Sa26";2275.50980654286;408.60556734468;76.213145
"mar";"str";"month";"Sa26";2026.11661771771;174.768727705635;276.5385125
"may";"str";"month";"Sa26";2231.63955303186;384.180750316312;229.01072
"nov";"str";"month";"Sa26";1947.61452443152;9.29250033350549;-131.59511
"oct";"str";"month";"Sa26";2038.62647663909;132.477811085065;-159.883676
"sep";"str";"month";"Sa26";2144.26438245108;230.337542303998;-142.201815
"apr";"str";"month";"Sa4";1970.68915111325;470.066224569709;205.8692175
"aug";"str";"month";"Sa4";1738.74837588155;238.125449338009;354.4219375
"dec";"str";"month";"Sa4";1769.01795336189;303.396812487083;197.1394125
"feb";"str";"month";"Sa4";1866.27376959274;417.151786945619;167.888156666667
"jan";"str";"month";"Sa4";1821.41187412211;355.7907332473;198.481
"jul";"str";"month";"Sa4";1879.45252767606;387.314882506759;367.83423
"jun";"str";"month";"Sa4";1922.99002751921;436.509236599402;339.778805
"mar";"str";"month";"Sa4";1939.72134068828;464.907811658042;189.7746575
"may";"str";"month";"Sa4";1982.12973931752;478.67838564923;284.8497775
"nov";"str";"month";"Sa4";1707.59666642823;221.115875508414;227.5302275
"oct";"str";"month";"Sa4";1717.79472836436;199.140578900559;257.90713
"sep";"str";"month";"Sa4";1732.39854991543;208.087546202137;317.937605
"apr";"str";"month";"Sa5";1836.34714055119;205.263012878732;278.097033333333
"aug";"str";"month";"Sa5";1882.40996660982;131.824792916826;78.9319035
"dec";"str";"month";"Sa5";2045.62317297497;404.993103756488;333.1503775
"feb";"str";"month";"Sa5";1887.32256139147;307.150121964444;343.33202
"jan";"str";"month";"Sa5";1987.05575585799;368.416707534407;323.003992
"jul";"str";"month";"Sa5";1849.68036958747;119.601292548895;89.997931
"jun";"str";"month";"Sa5";1854.07777944984;127.298534056795;166.120806666667
"mar";"str";"month";"Sa5";1851.48300673354;293.584430913883;316.302975
"may";"str";"month";"Sa5";1826.06584336701;188.617754663866;229.985875
"nov";"str";"month";"Sa5";2054.83614854433;380.618507219487;261.9700725
"oct";"str";"month";"Sa5";2041.06690744942;329.019053331101;133.835746
"sep";"str";"month";"Sa5";1952.75348919613;217.488962428851;67.497814
"apr";"str";"crazy";"Sa6";1946.64973102174;246.976245574185;184.45568
"aug";"str";"crazy";"Sa6";1956.58038898505;288.019601909702;83.131581
"dec";"str";"crazy";"Sa6";1918.06282279187;202.479434767615;-123.05896325
"feb";"str";"crazy";"Sa6";2050.32245632709;95.0298694805932;424.0440425
"jan";"str";"crazy";"Sa6";2093.45048442184;234.324419816711;429.7055725
"jul";"str";"crazy";"Sa6";1988.66152860718;53.5214850245025;178.24144
"jun";"str";"crazy";"Sa6";1993.41820763995;94.6941632883804;196.97053
"mar";"str";"crazy";"Sa6";1993.94465164375;150.374936224728;345.8045875
"may";"str";"crazy";"Sa6";1932.3992764856;77.1622991769974;175.6907225
"nov";"str";"crazy";"Sa6";1971.13730920399;65.3421970405493;-102.469023
"oct";"str";"crazy";"Sa6";1885.49172180999;407.849765655007;-73.645118725
"sep";"str";"crazy";"Sa6";1926.16514750779;430.845521823141;149.6676375
"apr";"str";"month";"Sa6";1728.03965026688;132.310861653747;24.7083875
"aug";"str";"month";"Sa6";2090.12466954837;499.345628403539;-24.18831405
"dec";"str";"month";"Sa6";1900.02511994507;268.233885491421;398.2836325
"feb";"str";"month";"Sa6";1791.12197734505;105.944180911817;274.3616125
"jan";"str";"month";"Sa6";1768.90095582743;93.9762077214035;352.28366
"jul";"str";"month";"Sa6";1968.09925408677;461.465919903142;-101.06619375
"jun";"str";"month";"Sa6";1758.24750581051;270.35250132832;-138.778385
"mar";"str";"month";"Sa6";1714.85353361792;120.538958567156;129.0299535
"may";"str";"month";"Sa6";1710.35542762512;149.27487129013;3.07040275
"nov";"str";"month";"Sa6";1997.5844436716;408.926722870327;348.346655
"oct";"str";"month";"Sa6";2131.9493161744;517.482197859824;170.7494675
"sep";"str";"month";"Sa6";2080.3825041028;510.109559612384;99.85135625
"apr";"str";"crazy";"Sa7";1784.6637499059;479.791550620833;157.43691
"aug";"str";"crazy";"Sa7";1743.63960767099;464.223252508639;113.01297
"dec";"str";"crazy";"Sa7";1678.32902225157;418.240252441653;46.696027
"feb";"str";"crazy";"Sa7";1818.72956967678;424.761915962207;255.696923333333
"jan";"str";"crazy";"Sa7";1778.27644680897;419.664132153725;222.184476666667
"jul";"str";"crazy";"Sa7";1714.99924310538;389.856649426295;142.605203333333
"jun";"str";"crazy";"Sa7";1730.79083540387;389.149083497106;183.963923333333
"mar";"str";"crazy";"Sa7";1789.7068533827;424.023470915585;217.30038
"may";"str";"crazy";"Sa7";1707.29528031182;375.553023341663;163.02377
"nov";"str";"crazy";"Sa7";1669.61351174128;406.22491028582;47.6558245
"oct";"str";"crazy";"Sa7";1802.18145443969;539.264257505027;55.6167206666667
"sep";"str";"crazy";"Sa7";1811.04107696538;522.196631387208;141.948143333333
"apr";"str";"month";"Sa7";1696.25622398961;257.151587409298;165.9875425
"aug";"str";"month";"Sa7";1985.54376045864;525.225920442729;297.2639
"dec";"str";"month";"Sa7";1810.69853794142;468.585381513856;26.280926
"feb";"str";"month";"Sa7";1673.80574366985;290.208989412679;30.0182455
"jan";"str";"month";"Sa7";1736.66815841775;310.998550679977;-11.0717275
"jul";"str";"month";"Sa7";1865.96383703023;333.87465872388;205.4537275
"jun";"str";"month";"Sa7";1755.90196756349;261.996555441214;281.692515
"mar";"str";"month";"Sa7";1687.84601967787;230.356606786702;86.56281175
"may";"str";"month";"Sa7";1737.13345005934;180.295534411466;202.1575
"nov";"str";"month";"Sa7";1982.91157491111;582.344257905462;-45.8584565
"oct";"str";"month";"Sa7";2044.85442769567;617.063499614337;114.2426782
"sep";"str";"month";"Sa7";1991.58307108841;546.468026868007;283.166945
"apr";"str";"crazy";"Sa8";1894.14129255055;276.84574711122;116.6861725
"aug";"str";"crazy";"Sa8";1874.21446820111;299.69888302357;78.744764
"dec";"str";"crazy";"Sa8";1813.59288969203;145.032102616683;-18.47901775
"feb";"str";"crazy";"Sa8";1930.81889813294;290.89593569565;347.39019
"jan";"str";"crazy";"Sa8";1932.94330322984;273.574904309913;338.784565
"jul";"str";"crazy";"Sa8";1825.8918779515;64.3465491501153;103.38938
"jun";"str";"crazy";"Sa8";1852.36848993305;126.178500190994;140.2718335
"mar";"str";"crazy";"Sa8";1921.48988916922;286.516674200231;303.3075025
"may";"str";"crazy";"Sa8";1837.37133758329;118.252415653104;196.99657
"nov";"str";"crazy";"Sa8";1806.79681111118;194.097459749564;51.89851775
"oct";"str";"crazy";"Sa8";1894.06451436591;418.543878554492;21.9028085
"sep";"str";"crazy";"Sa8";1901.32483259025;439.592779011965;145.6476915
"apr";"str";"crazy";"Sa9";1882.78363648123;115.22790003976;7.766341375
"aug";"str";"crazy";"Sa9";1840.24070265513;98.8479171175706;-42.45024075
"dec";"str";"crazy";"Sa9";1931.7720984033;138.053411057935;-175.8679575
"feb";"str";"crazy";"Sa9";1949.53654885013;190.819647173491;358.78532
"jan";"str";"crazy";"Sa9";1916.28250858263;223.680090946933;212.210205
"jul";"str";"crazy";"Sa9";2053.84926188369;151.94323701678;31.30684585
"jun";"str";"crazy";"Sa9";1908.53653757693;135.323946885973;195.21866
"mar";"str";"crazy";"Sa9";1941.92185593067;230.581108593535;195.55428
"may";"str";"crazy";"Sa9";1953.22502783151;352.900045140661;191.1014675
"nov";"str";"crazy";"Sa9";1859.51786822994;351.470320483936;-127.14399375
"oct";"str";"crazy";"Sa9";1751.90346998826;9.80357766951062;-145.3946675
"sep";"str";"crazy";"Sa9";1737.18689318986;-9.50919320660017;-101.597211
"apr";"str";"month";"Sa9";2086.34952367079;509.359064759104;42.5365695
"aug";"str";"month";"Sa9";1806.57966922528;80.0361260926296;-130.24221875
"dec";"str";"month";"Sa9";1840.62933738091;114.439347638856;295.7773225
"feb";"str";"month";"Sa9";2053.83261729717;435.476411686063;317.7934825
"jan";"str";"month";"Sa9";1938.07407379947;264.209985865221;356.4868425
"jul";"str";"month";"Sa9";1905.62462695073;293.632382370299;-99.937386
"jun";"str";"month";"Sa9";2009.06777471302;416.16741322463;-97.91764375
"mar";"str";"month";"Sa9";2097.51747978451;488.707215719422;209.0507775
"may";"str";"month";"Sa9";2066.11757761875;485.945138191721;-45.5406315
"nov";"str";"month";"Sa9";1806.32781016419;75.1880729538271;249.7365425
"oct";"str";"month";"Sa9";1791.95364452128;47.3788784683732;126.80658125
"sep";"str";"month";"Sa9";1770.6810953813;58.2796878723866;-1.51441825
