"m";"condition";"task";"participant";"modelz";"modelX";"y"
"oct";"str";"month";"Co2";1780.55770233207;275.692135101403;145.51656
"sep";"str";"month";"Co2";1799.20095445571;299.638688083947;120.444736
"apr";"str";"crazy";"Co3";1673.33477961766;251.20070578582;248.61119
"aug";"str";"crazy";"Co3";1638.27395937153;300.992699282077;182.18543
"dec";"str";"crazy";"Co3";1630.09496306733;218.921044343882;134.98761
"feb";"str";"crazy";"Co3";1631.54607169378;308.053393837463;319.936505
"jan";"str";"crazy";"Co3";1632.39885661402;201.072394626761;386.2541725
"jul";"str";"crazy";"Co3";1644.91114823023;183.532648042534;221.229595
"jun";"str";"crazy";"Co3";1628.84965079848;153.682568377648;263.260835
"mar";"str";"crazy";"Co3";1645.90272336238;299.429075117499;301.0680675
"may";"str";"crazy";"Co3";1663.22562398489;205.382657703132;261.4082475
"nov";"str";"crazy";"Co3";1646.86630908681;217.307614052512;141.36984
"oct";"str";"crazy";"Co3";1625.85870172081;385.804624044511;153.4197
"sep";"str";"crazy";"Co3";1628.16705587386;395.89115279061;228.8857
"apr";"str";"month";"Co3";1576.44221073997;210.523126012459;152.9681725
"aug";"str";"month";"Co3";1885.02710669281;686.692329106513;175.5769675
"dec";"str";"month";"Co3";2139.14282306096;391.032523102128;167.0547175
"feb";"str";"month";"Co3";1698.41490431996;64.502349522748;111.59728875
"jan";"str";"month";"Co3";1791.90986341566;9.03348004848911;123.49085
"jul";"str";"month";"Co3";1685.94150405402;545.943035915612;201.830595
"jun";"str";"month";"Co3";1644.07436354545;467.306342785341;173.8181725
"mar";"str";"month";"Co3";1569.36914181591;206.985590994336;160.304721
"may";"str";"month";"Co3";1535.71191262053;386.521056326704;187.6264025
"nov";"str";"month";"Co3";2114.66093014098;451.049890533941;154.3991925
"oct";"str";"month";"Co3";2057.90865125227;521.930385649399;152.68900875
"sep";"str";"month";"Co3";1962.42018784552;581.651860713091;176.82824
"apr";"str";"crazy";"Co4";1807.56299047675;247.896647704126;111.6329
"aug";"str";"crazy";"Co4";1806.65677144159;199.260720938877;-20.256092
"dec";"str";"crazy";"Co4";1809.34942946815;75.0277117424557;-172.63168
